MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
63548¬Pijao¬Quindio¬304¬1,531¬41¬10¬51¬28¬11¬71
47545¬Pijiño del Carmen¬Magdalena¬289¬1,02¬51¬27¬42¬23¬8¬287
68549¬Pinchote¬Santander¬321¬1,276¬56¬13¬25¬48¬15¬61
13549¬Pinillos¬Bolívar¬268¬0,714¬40¬40¬44¬12¬4¬558
08549¬Piojó¬Atlántico¬334¬1,276¬57¬12¬23¬36¬30¬93
15550¬Pisba¬Boyacá¬288¬0¬41¬23¬48¬23¬7¬31
41548¬Pital¬Huila¬302¬0,612¬49¬15¬44¬30¬12¬274
41551¬Pitalito¬Huila¬306¬0,255¬53¬17¬39¬30¬15¬2608
47551¬Pivijay¬Magdalena¬291¬0,51¬51¬27¬43¬20¬11¬734
73555¬Planadas¬Tolima¬287¬0,714¬45¬26¬46¬21¬7¬583
23555¬Planeta Rica¬Córdoba¬308¬0,357¬53¬16¬39¬30¬15¬1309
47555¬Plato¬Magdalena¬296¬0,612¬55¬23¬42¬23¬13¬1173
52540¬Policarpa¬Nariño¬303¬0,969¬37¬13¬48¬27¬12¬204
08558¬Polonuevo¬Atlántico¬284¬0,816¬44¬26¬47¬21¬6¬254
08560¬Ponedera¬Atlántico¬300¬0,969¬52¬21¬41¬25¬14¬419
19001¬Popayán¬Cauca¬314¬0,204¬53¬14¬35¬33¬18¬3997
85263¬Pore¬Casanare¬298¬0,867¬45¬18¬41¬36¬5¬223
52560¬Potosí¬Nariño¬300¬0,714¬45¬19¬42¬30¬10¬176
76563¬Pradera¬Valle Del Cauca¬308¬0,612¬55¬22¬32¬25¬21¬619
73563¬Prado¬Tolima¬287¬0,663¬49¬28¬41¬24¬7¬146
52565¬Providencia¬Nariño¬337¬1,173¬27¬5¬32¬25¬39¬57
88564¬Providencia¬San Andrés¬261¬0,867¬37¬39¬51¬10¬0¬88
20570¬Pueblo Bello¬Cesar¬309¬0,765¬54¬16¬41¬27¬17¬427
23570¬Pueblo Nuevo¬Córdoba¬309¬0,816¬59¬17¬38¬27¬17¬547
66572¬Pueblo Rico¬Risaralda¬283¬0,765¬53¬35¬42¬14¬10¬392
05576¬Pueblorrico¬Antioquia¬293¬1,786¬53¬27¬39¬27¬8¬109
47570¬Puebloviejo¬Magdalena¬292¬0,816¬60¬27¬42¬17¬14¬588
68572¬Puente Nacional¬Santander¬317¬0,867¬54¬12¬33¬36¬19¬213
52573¬Puerres¬Nariño¬333¬1,071¬43¬5¬24¬46¬25¬108
86568¬Puerto Asís¬Putumayo¬299¬0,408¬49¬19¬44¬25¬12¬1191
05579¬Puerto Berrío¬Antioquia¬288¬0,51¬50¬26¬44¬21¬9¬642
15572¬Puerto Boyacá¬Boyacá¬301¬0,459¬48¬18¬41¬28¬13¬926
86569¬Puerto Caicedo¬Putumayo¬290¬0,969¬42¬22¬45¬25¬8¬189
99001¬Puerto Carreño¬Vichada¬288¬1,02¬45¬24¬48¬22¬7¬446
08573¬Puerto Colombia¬Atlántico¬326¬0,765¬53¬17¬26¬27¬30¬659
50450¬Puerto Concordia¬Meta¬289¬1,276¬50¬23¬46¬24¬7¬161
23574¬Puerto Escondido¬Córdoba¬297¬0,612¬46¬18¬45¬29¬9¬487
50568¬Puerto Gaitán¬Meta¬278¬0,51¬44¬30¬49¬16¬5¬700
86571¬Puerto Guzmán¬Putumayo¬306¬0,714¬50¬16¬39¬30¬15¬458
23580¬Puerto Libertador¬Córdoba¬283¬0,612¬48¬29¬46¬20¬6¬834
50577¬Puerto Lleras¬Meta¬294¬0,918¬46¬22¬44¬26¬9¬170
50573¬Puerto López¬Meta¬297¬0,612¬50¬20¬43¬26¬11¬699
05585¬Puerto Nare¬Antioquia¬288¬0,663¬48¬23¬45¬27¬6¬253
91540¬Puerto Nariño¬Amazonas¬252¬1,48¬37¬50¬45¬3¬2¬124
68573¬Puerto Parra¬Santander¬287¬1,582¬51¬29¬39¬20¬11¬143
18592¬Puerto Rico¬Caquetá¬308¬0,714¬53¬15¬42¬27¬16¬579
50590¬Puerto Rico¬Meta¬296¬1,122¬49¬19¬46¬23¬11¬248
81591¬Puerto Rondón¬Arauca¬313¬2,296¬54¬5¬49¬31¬15¬59
25572¬Puerto Salgar¬Cundinamarca¬312¬0,816¬53¬13¬40¬30¬17¬297
54553¬Puerto Santander¬Norte De Santander¬287¬1,173¬45¬23¬53¬20¬5¬138
91669¬Puerto Santander¬Amazonas¬259¬2,398¬36¬44¬44¬12¬0¬34
19573¬Puerto Tejada¬Cauca¬282¬0,51¬47¬31¬42¬20¬7¬760
05591¬Puerto Triunfo¬Antioquia¬291¬0,867¬46¬21¬47¬24¬8¬345
68575¬Puerto Wilches¬Santander¬267¬0,51¬48¬42¬41¬13¬5¬782
25580¬Pulí¬Cundinamarca¬314¬0¬40¬10¬36¬39¬15¬39
52585¬Pupiales¬Nariño¬348¬0,765¬51¬6¬22¬36¬36¬255
19585¬Puracé¬Cauca¬298¬1,122¬49¬20¬45¬23¬12¬200
73585¬Purificación¬Tolima¬291¬0,612¬50¬26¬43¬18¬13¬331
23586¬Purísima¬Córdoba¬316¬0,867¬59¬16¬35¬28¬21¬304
17513¬Pácora¬Caldas¬312¬1,173¬50¬12¬40¬31¬17¬162
15514¬Páez¬Boyacá¬318¬1,327¬61¬15¬30¬35¬20¬46
68533¬Páramo¬Santander¬339¬0,765¬48¬4¬21¬44¬31¬52
25592¬Quebradanegra¬Cundinamarca¬302¬1,429¬49¬14¬50¬27¬10¬52
25594¬Quetame¬Cundinamarca¬311¬1,224¬45¬12¬35¬39¬14¬89
27001¬Quibdó¬Chocó¬294¬0,204¬52¬26¬40¬22¬13¬2928
63594¬Quimbaya¬Quindio¬313¬0,867¬57¬16¬32¬34¬18¬378
66594¬Quinchía¬Risaralda¬312¬0,612¬49¬14¬33¬37¬16¬446
25596¬Quipile¬Cundinamarca¬311¬1,582¬49¬12¬37¬34¬17¬86
15580¬Quípama¬Boyacá¬305¬2,245¬62¬19¬43¬22¬16¬68
