cole_cod_dane_establecimiento,cole_nombre_establecimiento,punt_lectura_critica_mean,punt_lectura_critica_count,punt_lectura_critica_std,punt_matematicas_mean,punt_matematicas_count,punt_matematicas_std,punt_c_naturales_mean,punt_c_naturales_count,punt_c_naturales_std,punt_sociales_ciudadanas_mean,punt_sociales_ciudadanas_count,punt_sociales_ciudadanas_std,punt_ingles_mean,punt_ingles_count,punt_ingles_std,punt_global_mean,punt_global_count,punt_global_std
252001002740,INSTITUCION EDUCATIVA CHACHAGUI,54.61764705882353,68,8.206348855929482,52.48529411764706,68,9.804800297172175,54.3235294117647,68,9.266278417765138,51.76470588235294,68,10.076006148876827,51.76470588235294,68,7.63948432865243,265.8382352941176,68,40.63768205507644
252001002863,I.E.M. AGUSTIN AGUALONGO,50.0,32,7.526297980436502,48.09375,32,7.755786081496541,51.4375,32,6.450493854561985,46.5,32,7.716760142493363,46.5625,32,6.520130119421969,244.125,32,28.6950034989796
252001003096,I.E.M. FRANCISCO DE LA VILLOTA,47.84905660377358,53,7.669610927889101,45.15094339622642,53,8.949422470440576,49.716981132075475,53,7.23606713859487,46.35849056603774,53,8.933718193155466,42.660377358490564,53,5.730966478521667,234.50943396226415,53,33.069055161719156
252001003282,I.E.M. JOSE ANTONIO GALAN,56.53061224489796,49,7.536306679491416,59.57142857142857,49,9.91631652042901,58.57142857142857,49,6.274950199005566,53.6530612244898,49,9.406449517060455,58.55102040816327,49,7.118231359479322,286.0408163265306,49,33.42090113466512
252001003380,I.E.M. NUESTRA SEÑORA DE GUADALUPE,55.05769230769231,52,7.505327419118699,53.36538461538461,52,8.98589056582235,53.55769230769231,52,8.805999428950967,49.53846153846154,52,9.680101965233384,51.26923076923077,52,9.43941545343588,263.84615384615387,52,35.90312926193755
252001003568,INSTITUCION EDUCATIVA JUAN PABLO II,55.0,43,9.368132405229163,50.41860465116279,43,10.268380866801355,54.372093023255815,43,8.115309622981426,53.25581395348837,43,9.981156110285816,46.58139534883721,43,8.75114294069919,263.69767441860466,43,39.803406700169425
252001004831,I.E.M. EDUARDO ROMO ROSERO,51.225806451612904,31,7.328982091301878,48.45161290322581,31,10.18442834159882,51.516129032258064,31,6.9420024380190455,49.0,31,7.122733557654206,46.61290322580645,31,7.574859379794184,248.8709677419355,31,33.003779516376476
252001004904,I.E.M. SANTA TERESITA,53.984375,64,7.7817290841870435,50.296875,64,7.849132370412286,53.1875,64,6.171812524799327,51.984375,64,7.6707901695585985,47.90625,64,6.323849415393398,260.0625,64,29.3029469236918
252001006656,LICEO JOSE FELIX JIMENEZ,59.53191489361702,47,8.62970366721267,57.255319148936174,47,9.116320971099231,55.723404255319146,47,8.764310354226332,55.659574468085104,47,9.416166938568267,54.297872340425535,47,7.742920731972505,284.1489361702128,47,38.61570908288618
252019000060,INSTITUCION EDUCATIVA AGROPECUARIA LA VEGA,53.43478260869565,23,7.566830049369909,50.69565217391305,23,8.740890232426901,52.34782608695652,23,7.339858158476993,50.78260869565217,23,9.844040752654417,48.52173913043478,23,10.483188122016177,257.8695652173913,23,32.41955687519787
252019000272,I.E. CHAPIURCO,45.285714285714285,7,3.7733400639347674,45.714285714285715,7,13.984685501341408,46.142857142857146,7,7.128079952520442,44.142857142857146,7,8.295150620062532,39.42857142857143,7,6.347102826149446,224.28571428571428,7,29.6688067713903
252019000337,INSTITUCION EDUCATIVA JOSE ANTONIO GALAN,58.38095238095238,42,7.335022506332807,58.976190476190474,42,11.022124303325375,59.73809523809524,42,8.453775383496472,57.42857142857143,42,10.394986730579305,54.666666666666664,42,8.09596908635121,291.64285714285717,42,40.61828341689481
252036000081,INSTITUCION EDUCATIVA NUESTRA SEÑORA DE LAS LAJAS,52.411764705882355,17,9.740757308401461,53.35294117647059,17,9.797583735739314,53.64705882352941,17,7.035101069552842,50.1764705882353,17,8.589494267109437,45.411764705882355,17,9.028142275195737,259.29411764705884,17,39.38236392391008
252051000098,CENTRO EDUCATIVO LA ESTANCIA,45.22222222222222,9,9.73110705133,38.666666666666664,9,9.5,43.666666666666664,9,5.787918451395112,41.55555555555556,9,5.76868943329226,45.0,9,7.615773105863908,212.55555555555554,9,35.01110934800235
252051000560,INSTITUCION EDUCATIVA SAN PEDRO DE CARTAGO,54.108695652173914,46,9.119523040329018,54.130434782608695,46,10.521108297454374,53.65217391304348,46,9.170526196715086,49.630434782608695,46,8.955094628576703,47.56521739130435,46,6.920668477388081,262.4130434782609,46,39.821588833170225
252051000578,INSTITUCION  EDUCATIVA ROSAFLORIDA,50.30434782608695,23,5.795254976026004,48.95652173913044,23,8.08184419137098,51.78260869565217,23,6.721448178231251,48.26086956521739,23,7.3063944055523145,49.21739130434783,23,8.118197973683627,248.8695652173913,23,27.481075054771928
252051000691,INSTITUCION EDUCATIVA ECOLOGICA LA COCHA,48.26086956521739,23,9.066508756278129,43.869565217391305,23,8.740211916642872,49.56521739130435,23,6.258275154156961,45.34782608695652,23,9.51366813710279,41.65217391304348,23,4.6182316140603765,231.82608695652175,23,30.884906837413826
252079000433,INSTITUCION EDUCATIVA SANTA TERESITA DE ALTAQUER,42.5,6,7.286974680894672,33.333333333333336,6,2.2509257354845507,42.166666666666664,6,6.968978882638881,41.333333333333336,6,8.358628276617322,38.5,6,4.460941604639093,198.5,6,19.776248380317234
252079000883,INSTITUCION EDUCATIVA EL DIVISO,44.629629629629626,27,5.485282042732084,37.629629629629626,27,6.884476116307718,46.81481481481482,27,5.7448106150550355,43.407407407407405,27,6.535461017575631,41.666666666666664,27,7.5447383601472175,215.07407407407408,27,21.896480092833198
252079001456,INSTITUCION EDUCATIVA BUENAVISTA,45.2,15,8.784727006084397,40.333333333333336,15,6.945365018348225,44.46666666666667,15,4.998094875145166,43.333333333333336,15,9.521904571390467,40.8,15,8.35121890162491,215.66666666666666,15,31.361183165241222
252079002045,INSTITUCION EDUCATIVA TECNOLOGICA AGROAMBIENTAL INDIGENA AWA,41.758620689655174,29,6.900596104756837,36.0,29,9.082951062292473,39.689655172413794,29,8.53188744934413,37.06896551724138,29,6.502367890033591,39.58620689655172,29,4.013523935924197,193.55172413793105,29,28.46750805353931
